Year,US Fixed Income,High Yield,Large Cap Equity,Global ex-US Fixed Income,Real Estate,Small Cap Equity,Cash Equivalent,Dev ex-US Equity,Emerging Market Equity,3-Fund 60F/40E,3-Fund 40F/60E,Equal Investment
2000,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2001,10843.0,10528.0,8811.0,9625.0,9619.0,10249.0,10442.0,7860.0,9739.0,9994.0,9569.0,9746.222222222223
2002,11955.4918,10383.766399999999,6863.769,11778.1125,9890.255799999999,8150.004799999999,10625.7792,6618.12,9139.077599999999,9698.177599999999,8748.9367,9489.375233333332
2003,12445.6669638,13391.943526079998,8832.297949200001,14058.35508,13914.600885020001,12000.882067999999,10747.975660800003,9226.982904,14240.510716320001,11214.97257664,10628.208303159998,12095.468417024445
2004,12985.80891002892,14882.466840532703,9793.251966072961,15821.272807031999,19196.583380973592,14200.6437510644,10890.923737088642,11107.442019835198,17878.96120433976,12135.721825182147,11712.285550082319,14084.150512996464
2005,13301.364066542623,15290.2464319633,10274.100637607142,14452.73270922373,22143.25892995304,14846.773041737832,11225.275095817264,12714.688880105352,23957.808013815284,12693.965029140525,12379.885826437012,15356.249756307283
2006,13877.313130623916,17102.14063415095,11896.38112828531,15632.075698296387,31469.999591249263,17574.125249505072,11769.700937964402,15983.635391180434,31665.034851859666,13920.2020509555,13908.801726001982,18552.267401457266
2007,14844.561855828404,17421.950664009575,12549.492452228173,17356.29364781848,29144.36662145594,17298.211483087838,12358.185984862625,17971.999633843283,44134.725576522,14915.496497598819,14919.971611482326,20342.19865773959
2008,15622.416897073812,12864.368370304668,7906.180244903749,18118.23493895771,15093.867473252034,11453.14582295246,12612.764616150793,10143.39659334115,20597.67642656282,13073.432680145364,11779.317587265297,13823.561264833243
2009,16548.826219070288,20352.71719865902,9998.94615572977,19482.538029861225,20698.220466070514,14564.965543048642,12639.25142184471,13558.678226319114,36768.912189057286,15123.346924392157,14201.14528320704,18290.33949440673
2010,17631.11945379748,23430.048039096262,11504.787446782677,20446.923662339355,24761.281143560154,18475.658791357204,12655.68244869311,14772.179927574674,43710.88281035131,16667.440645372597,15920.903977003414,20820.951524839136
2011,19013.399218975206,24596.864431443257,11747.53846190979,21338.409534017355,23161.70238168617,17703.376253878472,12668.338131141802,12968.496758417807,35659.3381966846,17280.802461122308,16197.927706203274,19873.051485350497
2012,19813.863326094062,28485.62869805444,13627.144615815356,22211.150483958663,29584.442452127743,20597.878271387603,12682.273303086058,15096.627076474168,42160.0355499402,18849.899324592214,18076.887320122856,22695.449308548697
2013,19413.62328690696,30604.95947318969,18040.97675687795,21527.047049052733,30670.19149012083,28593.974616340267,12691.150894398217,18269.938087949035,41063.87462564175,20832.908733539312,21133.68896595563,24541.748475608605
2014,20572.616597135308,31354.780980282838,20510.786474894543,20861.861295237002,35276.85425193697,29992.219975079304,12694.958239666536,17480.676762549636,40164.5757713402,22309.961962747253,22773.663229713784,25434.37003868026
2015,20685.765988419553,29953.222270464197,20793.835328248093,19605.977245263733,34998.16710334667,28669.563074178302,12701.305718786369,16949.26418896813,34172.02106625624,22292.113993177052,22714.45170531653,24281.013553770146
2016,21233.93878711267,35084.20924539471,23280.77803350656,19898.10630621816,36419.092687742545,34779.0469652857,12743.220027658364,17415.36895416475,37995.87022357031,23602.890295975863,24433.935699408994,26538.847914517086
2017,21985.620220176457,37715.52493879932,28362.97187822104,21989.39727900169,40192.11069019267,39874.17734570006,12852.811719896225,21631.62977796804,52160.73064291732,26201.568517562806,28045.271395781638,30751.663832541424
2018,21987.818782198476,36931.04202007229,27120.673709954965,21516.62523750315,37929.294858334826,35484.030419938485,13093.159299058283,18583.733142252342,44560.91218824427,25439.10287370173,26836.52019862345,28578.587739728566
2019,23905.15658000618,42219.56723734664,35660.97386121978,22611.82146209206,46239.603361795984,44539.55498310678,13391.68333107681,22763.21472594489,52777.944395756516,29684.88914332255,32399.730835798095,33789.94665981618
2020,25700.433839164645,45221.37846792198,42222.59305168421,24897.876611909564,42059.54321788963,53429.65015773489,13481.407609395024,24490.94272364411,62441.586014619534,33288.63468532191,37065.29207615302,37105.04574377373
